Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,week_of
1,Midnights,Taylor Swift,REPUBLIC RECORDS,R-RR,1,2,1,35,11228,-34.4,17125,2414524,2023.06.22
2,Good Riddance,Gracie Abrams,INTERSCOPE/GEFFEN/A&M,INT ,2,35,56,17,10267,999.0,300,21784,2023.06.22
3,folklore,Taylor Swift,REPUBLIC RECORDS,R-RR,1,3,3,151,7529,5.8,7115,1944075,2023.06.22
4,The Show,Niall Horan,CAPITOL MUSIC GROUP,CAP ,1,1,,2,6806,-90.0,68128,74934,2023.06.22
5,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,INTERSCOPE/GEFFEN/A&M,INT ,1,4,6,13,5005,-1.6,5086,188838,2023.06.22
6,PORTALS,Melanie Martinez,ATLANTIC GROUP,ATLG,1,6,7,12,4660,18.8,3923,190415,2023.06.22
7,-,Ed Sheeran,ATLANTIC GROUP,ATLG,1,5,4,7,3194,-28.0,4439,129941,2023.06.22
8,The Little Mermaid,"Alan Menken, Howard Ashman & Lin-Manuel Miranda",DISNEY,DISN,2,7,5,5,2346,-31.7,3435,24277,2023.06.22
9,Harry's House,Harry Styles,Columbia Records,COL ,1,8,8,58,2278,-0.0,2279,862239,2023.06.22
10,SOUR,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,11,11,108,1793,20.2,1492,965507,2023.06.22
11,Endless Summer Vacation,Miley Cyrus,Columbia Records,COL ,2,10,9,15,1709,8.6,1573,109160,2023.06.22
12,Diamonds,Elton John,ISLAND,ISL,4,14,14,292,1323,14.9,1151,777820,2023.06.22
13,Special,Lizzo,ATLANTIC GROUP,ATLG,1,15,20,49,1244,8.8,1143,146978,2023.06.22
14,Trustfall,P!nk, RCA,RCA ,1,12,13,18,1209,-9.7,1339,125820,2023.06.22
15,Finally Enough Love (Album),Madonna,Warner Records,WAR,1,22,31,44,1062,100.8,529,60572,2023.06.22
16,The Album,Jonas Brothers,REPUBLIC RECORDS,R-RR,1,13,10,6,1007,-22.8,1304,44462,2023.06.22
17,Broken By Desire To Be Heavenly Sent,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP ,1,17,16,5,927,-1.2,938,25001,2023.06.22
18,Rita Wilson Now & Forever: Duets,Rita Wilson,THE ORCHARD,ORCH,18,,,1,828,999.0,22,2621,2023.06.22
19,Olivia Newton J(Tgt),Olivia Newton-John,OLIVIA NEWTON JOHN,VCMG,19,20,34,31,798,38.3,577,12012,2023.06.22
20,SMITHEREENS,Joji,88RISING MUSIC,88RM,2,16,18,33,764,-32.4,1131,55077,2023.06.22
