Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,week_of
1,College Park,Logic, BMG DISTRIBUTION,BMG ,1,13,23,18,6577,999.0,510,14789,2023.06.22
2,MICHAEL,Killer Mike,LOMA VISTA,LVR,2,,,1,3718,,0,3718,2023.06.22
3,D-Day,Agust D (Suga Of Bts),INTERSCOPE/GEFFEN/A&M,INT,1,2,1,10,3387,-4.7,3555,197317,2023.06.22
4,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,4,,,1,1979,,0,1979,2023.06.22
5,No Thank You,Little Simz, AWAL,AWAL,5,,,1,1672,999.0,3,2416,2023.06.22
6,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,3,5,29,1523,5.1,1449,45222,2023.06.22
7,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,5,6,58,953,-2.6,978,251387,2023.06.22
8,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,2,6,4,266,918,-0.8,925,197287,2023.06.22
9,A Gift & A Curse,Gunna,300 ENTERTAINME,300E,9,,,1,855,,0,855,2023.06.22
10,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,4,2,3,745,-31.7,1091,5043,2023.06.22
11,Hope,NF,NF REAL MUSIC,NFRM,1,7,7,11,678,-17.0,817,99296,2023.06.22
12,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,10,13,39,618,15.5,535,59932,2023.06.22
13,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,2,11,10,196,559,6.1,527,566409,2023.06.22
14,Aftërlyfe,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,14,,,1,539,999.0,7,924,2023.06.22
15,Music By ShowTime,Showtime From Gmg, INDEPENDENT LABEL SUBMISSION,INDI,15,,,1,523,,0,523,2023.06.22
16,Luv 4 Rent,Smino,CAPITOL MUSIC GROUP,CAP ,2,12,11,20,515,0.6,512,8578,2023.06.22
17,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,2,9,9,46,511,-19.9,638,25434,2023.06.22
18,Her Loss,"Drake, 21 Savage",OVO / REPUBLIC RECORDS,R-RR,1,14,17,33,428,6.5,402,31560,2023.06.22
19,$oul $old $eparately,Freddie Gibbs,WARNER RECORDS,WAR,1,1,90,35,360,-91.5,4252,16555,2023.06.22
20,Maps,Billy Woods,THE ORCHARD,ORCH,2,8,14,7,357,-46.2,663,7360,2023.06.22
21,The Forever Story,J.I.D,INTERSCOPE/GEFFEN/A&M,INT ,2,15,16,27,319,-16.7,383,30731,2023.06.22
22,NOW Hip-Hop Party,Various Artists,NOW,NOW,2,18,20,20,296,-3.6,307,12970,2023.06.22
