US_Chart - Current Country Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.22
1,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,1,1,3,4969,-29.9,7091,75094,2023.06.22
2,Red (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,1,3,3,83,4718,10.8,4259,944640,2023.06.22
3,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,2,2,16,4597,-0.1,4603,237391,2023.06.22
4,Gettin' Old,Luke Combs,COLUMBIA NASHVILLE,CLNV,1,4,8,13,2229,5.0,2122,71907,2023.06.22
5,Traveller,Chris Stapleton,MERCURY NASHVILLE,MERN,1,8,11,424,1815,13.9,1594,3048594,2023.06.22
6,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,5,7,57,1762,3.0,1710,110634,2023.06.22
7,Bell Bottom Country,Lainey Wilson,BROKEN BOW RECO,BB2,1,7,10,34,1692,4.0,1627,64837,2023.06.22
8,Rich White Honky Blues,Hank Williams Jr.,CONCORD EASY EYE SOUND,CNCO,1,6,,4,1500,-11.2,1689,22679,2023.06.22
9,NOW Country 16,Various Artists,NOW,NOW ,9,9,9,3,1134,-19.5,1408,4396,2023.06.22
10,The Outlaw Side Of Me,Chris Janson,BMLG RECORDS,BMLG,10,,,1,1102,,0,1102,2023.06.22
11,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,11,15,22,992,0.3,989,53801,2023.06.22
12,Dangerous: The Double Album,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,13,16,127,901,-5.5,953,415840,2023.06.22
13,This One's For You,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,18,19,316,805,14.3,704,780031,2023.06.22
14,Olivia Newton J(Tgt),Olivia Newton-John,OLIVIA NEWTON JOHN,VCMG,8,20,32,29,798,38.3,577,12012,2023.06.22
15,Queen Of Me,Shania Twain,REPUBLIC RECORDS,R-RR,1,19,24,20,774,31.0,591,60406,2023.06.22
16,Religiously. The Album.,Bailey Zimmerman,Warner Music Nashville,WNS,2,17,14,6,716,-10.3,798,12918,2023.06.22
17,NOW Country Classics 90s Dance Party,Various Artists,NOW,NOW ,13,16,13,3,654,-19.5,812,2636,2023.06.22
18,Sweet Western Sound,Tanya Tucker,FANTASY RECORDS,FAN ,4,10,4,3,647,-37.5,1036,5099,2023.06.22
19,Diamonds & Rhinestones : The Greatest Hits,Dolly Parton,RLSG,RLSG,2,24,20,31,619,22.3,506,70499,2023.06.22
