US_Chart - Current Rock Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.22
1,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,,,1,35631,999.0,138,35769,2023.06.22
2,But Here We Are,Foo Fighters, RCA,RCA ,2,3,2,3,7170,-43.1,12605,74376,2023.06.22
3,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,1,,2,6085,-78.1,27828,33937,2023.06.22
4,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,7,6,8,5893,-10.4,6579,92741,2023.06.22
5,The Complete Dirty South,Drive-By Truckers,NEW WEST RECORD,NWSW,5,,,1,5299,,0,5300,2023.06.22
6,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,6,1,3,4969,-29.9,7091,75094,2023.06.22
7,Peace...Like A River,Gov't Mule,FANTASY RECORDS,FAN ,7,,,1,4556,,0,4556,2023.06.22
8,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,11,11,12,4227,2.6,4121,116545,2023.06.22
9,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,10,10,10,4176,-5.2,4404,211949,2023.06.22
10,King Of A Land,Yusuf/Cat Stevens, BMG DISTRIBUTION,BMG,10,,,1,3104,,0,3105,2023.06.22
11,Orpheus Descending,John Mellencamp,REPUBLIC RECORDS,R-RR,11,,,1,2878,999.0,17,2895,2023.06.22
12,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,9,3,3,2631,-41.5,4499,35467,2023.06.22
13,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,2,50,3,2464,-89.1,22611,37945,2023.06.22
14,Five Easy Hot Dogs,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,14,,,1,2263,999.0,71,5637,2023.06.22
15,Bridges,Steve Lukather, INDEPENDENT LABEL SUBMISSION,INDI,15,,,1,2193,,0,2193,2023.06.22
16,Six,Extreme,EAR MUSIC,EAR,4,4,,2,2144,-82.9,12523,14667,2023.06.22
17,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,12,4,3,2115,-38.4,3434,17107,2023.06.22
18,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,14,19,5,2091,-31.4,3046,51059,2023.06.22
19,Phantomime,Ghost,LOMA VISTA,LVR,2,17,14,5,2052,-14.5,2401,47004,2023.06.22
20,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,21,8,4,1953,-3.6,2025,22345,2023.06.22
21,Emotional Contracts,Deer Tick,"ATO RECORDS, L.L.C.",ATO ,21,,,1,1877,,0,1877,2023.06.22
22,Smash: The Singles 1985-2020,Pet Shop Boys, WAR - PARLOPHONE,WAR ,22,,,1,1866,999.0,1,1867,2023.06.22
23,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,22,21,5,1863,-6.1,1984,26391,2023.06.22
24,Joy'All,Jenny Lewis,BLUE NOTE,BNTE,5,5,,2,1862,-76.3,7872,9744,2023.06.22
25,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,24,22,32,1762,3.0,1710,110634,2023.06.22
26,Rich White Honky Blues,Hank Williams Jr.,CONCORD EASY EYE SOUND,CNCO,2,25,,4,1500,-11.2,1689,22679,2023.06.22
27,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,KGLW (KING GIZZARD &THE LIZARD WIZARD),KGD,27,,,1,1495,,0,1495,2023.06.22
28,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,33,35,13,1436,12.9,1272,75710,2023.06.22
29,Seven Psalms,Paul Simon,SBME,SBME,6,15,25,5,1421,-42.7,2478,17629,2023.06.22
30,Day Of The Doug,Son Volt,RED INK,RDIK,30,,,1,1351,999.0,15,3324,2023.06.22
31,Diamonds,Elton John,ISLAND,ISL,2,35,36,290,1323,14.9,1151,777820,2023.06.22
32,Live At Montreux Jazz Festival '07,Motorhead, BMG DISTRIBUTION,BMG ,32,,,1,1319,999.0,1,1320,2023.06.22
33,Space Heavy,King Krule,Matador,OLE,13,13,,2,1306,-61.3,3379,4690,2023.06.22
34,Boundless Domain,Creeping Death,MNRK,MNRK,34,,,1,1254,999.0,14,1268,2023.06.22
35,Patient Number 9,Ozzy Osbourne,EPIC,EPIC,1,49,49,3,1244,52.1,818,144091,2023.06.22
36,Muppets Mayhem,Dr. Teeth And The El,DISNEY,DISN,7,40,32,6,1219,16.3,1048,12382,2023.06.22
37,NOW Classic Rock (2022),Various Artists,NOW,NOW,10,46,,2,1192,22.8,971,42823,2023.06.22
38,Forwards,Alarm,TWENTY CENTURY RECORDING COMPANY,21CI,38,,,1,1190,,0,1190,2023.06.22
39,Strangers No More,Drew Holcomb & The Neighbors,MAGNOLIA RECORD,MAG,18,18,,2,1163,-47.5,2217,3844,2023.06.22
40,Being Funny In A Foreign Langu,The 1975,DIRTY HIT,DRHI,2,42,43,34,1129,8.9,1037,79116,2023.06.22
41,This Is Why,Paramore,ATLANTIC GROUP,ATLG,1,31,23,19,1112,-22.7,1439,104251,2023.06.22
42,The Winding Way,Teskey Brothers,THE ORCHARD,ORCH,42,,,1,1102,,0,1102,2023.06.22
43,First Two Pages Of Frankenstein,National,4AD,4AD,1,36,33,8,1088,-3.4,1126,38628,2023.06.22
44,"The Dark Side Of The Moon - Live At Wembley Empire Pool, London, 1974",Pink Floyd,PKFL,PKFL,3,47,41,13,1068,11.0,962,39455,2023.06.22
45,Bright New Disease,Boris & Uniform,Sacred Bones Records,SBR,45,,,1,1035,,0,1035,2023.06.22
46,Cracker Island,Gorillaz,WARNER RECORDS,WAR ,1,43,34,17,1025,2.4,1001,98575,2023.06.22
47,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,45,39,21,992,0.3,989,53801,2023.06.22
48,Tomorrow Never Comes,Rancid,Epitaph,EPI,5,30,5,3,976,-32.4,1444,10887,2023.06.22
49,Aurora,Daisy Jones & The Six,ATLANTIC GROUP,ATLG,2,,46,15,969,44.0,673,48584,2023.06.22
50,Return Of The Dream Canteen,Red Hot Chili Peppers,Warner Records,WAR,1,,,1,961,28.1,750,111195,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.06.22
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
1,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,6,6,4,5193,4.5,4969,80287,2023.06.29
2,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,1,,2,4936,-86.1,35632,40705,2023.06.29
3,Chris Black Changed My Life,Portugal. The Man,ATLANTIC GROUP,ATLG,3,,,1,4916,999.0,26,4941,2023.06.29
4,But Here We Are,Foo Fighters, RCA,RCA ,2,2,3,4,4274,-40.4,7170,78650,2023.06.29
5,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,4,7,9,4110,-30.3,5895,96851,2023.06.29
6,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,8,11,13,4069,-3.8,4229,120614,2023.06.29
7,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,3,1,3,3353,-44.9,6088,37290,2023.06.29
8,Peace...Like A River,Gov't Mule,FANTASY RECORDS,FAN ,7,7,,2,2664,-41.5,4556,7220,2023.06.29
9,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,9,10,11,2661,-36.3,4177,214610,2023.06.29
10,Seven Psalms,Paul Simon,SBME,SBME,6,29,15,6,2575,81.2,1421,20204,2023.06.29
11,Life Under The Gun,Militarie Gun,LOMA VISTA,LVR ,11,,,1,2547,,0,2547,2023.06.29
12,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,20,21,5,2523,29.2,1953,24868,2023.06.29
13,The Definitive 24 Nights,Eric Clapton, WARNER Records,WAR ,13,,,1,2380,,0,2380,2023.06.29
14,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,13,2,4,2216,-10.2,2467,40161,2023.06.29
15,Spring 1973,Grateful Dead,Grateful Dead,RHI ,15,,,1,2188,,0,2188,2023.06.29
16,Police Deranged For Orchestra,Stewart Copeland, BMG DISTRIBUTION,BMG ,16,,,1,1574,,0,1574,2023.06.29
17,Six,Extreme,EAR MUSIC,EAR,4,16,4,3,1557,-27.4,2144,16224,2023.06.29
18,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,12,9,4,1536,-41.6,2631,37003,2023.06.29
19,Phantomime,Ghost,LOMA VISTA,LVR,2,19,17,6,1504,-26.7,2052,48508,2023.06.29
20,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,18,14,6,1482,-29.2,2092,52541,2023.06.29
21,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,17,12,4,1445,-31.7,2115,18552,2023.06.29
22,The Beggar,Swans, INDEPENDENT LABEL SUBMISSION,INDI,22,,,1,1443,,0,1443,2023.06.29
23,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,23,22,6,1365,-26.7,1863,27756,2023.06.29
24,Midnight Control,Dirty Heads,Better Noise Records,NOIZ,10,,,1,1335,237.1,396,8287,2023.06.29
25,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,25,24,33,1326,-24.7,1762,111960,2023.06.29
26,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,28,33,14,1318,-8.2,1436,77028,2023.06.29
27,24 Nights: Rock,Eric Clapton, WARNER Records,WAR ,27,,,1,1224,,0,1224,2023.06.29
28,This Far South,Tommy Prine,RED INK,RDIK,28,,,1,1089,,0,1089,2023.06.29
