US_Chart - Mainstream R&B/Hip-Hop Airplay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,week_of
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.22
1,Snooze,Sza,4018,515,3503,73,0,17850000,2627900,15222100,10289788,2023.06.22
2,Favorite Song,Toosii,3645,-163,3808,72,0,12983100,-320100,13303200,22407592,2023.06.22
3,All My Life,Lil Durk Feat. J. Cole,3610,440,3170,71,0,15566500,1587100,13979400,20462241,2023.06.22
4,Glu,Usher,2882,12,2870,70,0,8570500,-352600,8923100,740680,2023.06.22
5,Search & Rescue,Drake,2777,-170,2947,72,0,10078300,-597700,10676000,10996874,2023.06.22
6,ICU,Coco Jones,2552,-787,3339,68,0,9468400,-2741800,12210200,4222838,2023.06.22
7,Ain't Gonna Answer,Nle Choppa,2535,231,2304,71,0,8173000,873700,7299300,1388107,2023.06.22
8,Under The Influence,Chris Brown,2417,-343,2760,71,0,10996100,-1845600,12841700,9133860,2023.06.22
9,What It Is (Block Boy),Doechii & Kodak Black,2404,162,2242,71,0,7653500,438100,7215400,6653874,2023.06.22
10,Creepin',"Metro Boomin, The Weeknd & 21 Savage",2278,-490,2768,69,0,10692600,-1411100,12103700,8997228,2023.06.22
11,Fight The Feeling,Rod Wave,2209,24,2185,65,0,7805500,133500,7672000,5100686,2023.06.22
12,Dogtooth,"Tyler, The Creator",2099,34,2065,70,0,5936600,306500,5630100,2404792,2023.06.22
13,Spin Bout U,Drake & 21 Savage,2060,-413,2473,66,0,9640900,-1717900,11358800,6376114,2023.06.22
14,Put It On Da Floor,Latto,1986,147,1839,72,0,7792200,745000,7047200,14318681,2023.06.22
15,Calm Down,Rema & Selena Gomez,1879,60,1819,69,0,6975700,-37500,7013200,20003930,2023.06.22
16,Rodeo,Lah Pat Feat. Big Jade,1841,-84,1925,69,0,6136000,-256200,6392200,2751636,2023.06.22
17,In Ha Mood,Ice Spice,1746,-871,2617,69,0,7842800,-2336400,10179200,2454768,2023.06.22
18,Private Landing,Don Toliver,1707,-225,1932,70,0,5442300,-896800,6339100,2704388,2023.06.22
19,Shake Sumn,DaBaby,1582,70,1512,68,0,6111600,798200,5313400,8068774,2023.06.22
20,Peaches & Eggplants,Young Nudy Feat. 21 Savage,1549,109,1440,69,0,4957700,332800,4624900,8202425,2023.06.22
21,Princess Diana,Ice Spice,1537,57,1480,71,0,7194300,682300,6512000,7477903,2023.06.22
22,Pound Town,Sexyy Red,1291,126,1165,66,0,4053800,181500,3872300,5113283,2023.06.22
23,Act Bad,Diddy,1245,438,807,71,0,4225900,1043900,3182000,1182158,2023.06.22
24,People,Libianca,1215,37,1178,61,0,4249300,141500,4107800,5524463,2023.06.22
25,Sittin' On Top Of The World,Burna Boy,1137,191,946,70,0,4152100,649200,3502900,1242600,2023.06.22
26,Mine,Wanmor,1118,-124,1242,65,0,3053000,-145900,3198900,125707,2023.06.22
27,Already Know,Yung Pooda Feat. Angelica Vila & A Boogie Wit Da Hoodie,1070,-94,1164,59,0,2814200,-101700,2915900,276199,2023.06.22
28,Area Codes,Kali,1058,76,982,61,0,3156000,131500,3024500,18868271,2023.06.22
29,Curious,Eric Bellinger,908,53,855,60,0,2982100,271100,2711000,535646,2023.06.22
30,Stop Playing With Me,Pretty Porcelain,858,12,846,40,0,1703800,137300,1566500,6800,2023.06.22
31,Always,Daniel Caesar,837,92,745,36,0,1516200,129100,1387100,1280162,2023.06.22
32,Bops,Coi Leray,802,39,763,51,0,2108400,91600,2016800,701821,2023.06.22
33,Lick Or Sum,Glorilla,774,238,536,61,0,2158700,396800,1761900,3166882,2023.06.22
34,I'm Geekin,Ddg,769,63,706,54,0,1869100,412900,1456200,6889235,2023.06.22
35,Fake Love,Tink,720,-20,740,43,0,1643900,-89800,1733700,3,2023.06.22
36,Passionate,Blxst Feat. Roddy Ricch,580,-413,993,40,0,1557800,-1171700,2729500,442617,2023.06.22
37,Give It To Me,Miguel,510,31,479,35,0,1597100,87600,1509500,381677,2023.06.22
38,Chromosomes,Key Glock,502,4,498,38,0,766600,-45000,811600,586282,2023.06.22
