US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
1,Business Is Business,Young Thug,300 ENTERTAINME,300E,1,,,1,8527,,0,8527,2023.06.29
2,Sos,SZA, RCA,RCA ,1,2,2,29,5776,-9.0,6349,86545,2023.06.29
3,Red Moon In Venus,Kali Uchis,INTERSCOPE/GEFFEN/A&M,INT ,1,9,6,17,3856,239.1,1137,68029,2023.06.29
4,The Age Of Pleasure,Janelle Monae,ATLANTIC GROUP,ATLG,1,3,1,3,2679,-41.9,4613,26256,2023.06.29
5,Like..?,Ice Spice,"TENTHOUSAND PROJECTS, LLC",10K,5,169,151,23,1496,999.0,25,3170,2023.06.29
6,Coi,Coi Leray,UPTOWN / REPUBLIC RECORDS,R-RR,6,,,1,1350,,0,1350,2023.06.29
7,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,7,4,30,1339,-12.1,1524,46561,2023.06.29
8,Since I Have A Lover,6Lack,INTERSCOPE/GEFFEN/A&M,INT ,2,,118,13,1281,999.0,15,5360,2023.06.29
9,Renaissance,Beyonce,Columbia Records,COL ,1,8,5,48,1231,-2.1,1257,390138,2023.06.29
10,College Park,Logic, BMG DISTRIBUTION,BMG ,1,1,22,19,1209,-81.6,6577,15998,2023.06.29
11,Gemini Rights,Steve Lacy, RCA,RCA ,2,11,9,50,987,4.9,941,79686,2023.06.29
12,MICHAEL,Killer Mike,LOMA VISTA,LVR,4,4,,2,973,-73.8,3718,4691,2023.06.29
13,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,3,13,11,267,931,1.4,918,198218,2023.06.29
14,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,10,10,59,897,-5.9,953,252284,2023.06.29
15,Wasteland,Brent Faiyaz, INDEPENDENT LABEL SUBMISSION,INDI,2,151,,2,886,999.0,29,8902,2023.06.29
16,Never Enough,Daniel Caesar,REPUBLIC RECORDS,R-RR,2,12,8,13,849,-8.2,925,21059,2023.06.29
17,No Thank You,Little Simz, AWAL,AWAL,6,6,,2,678,-59.4,1672,3094,2023.06.29
