US_Chart - Mainstream Rock Airplay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,week_of
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.22
1,72 Seasons,Metallica,1999,71,1928,69,0,4030300,226700,3803600,441807,2023.06.22
2,rescued,Foo Fighters,1962,-89,2051,68,0,4653200,101600,4551600,696565,2023.06.22
3,Need A Favor,Jelly Roll,1783,113,1670,68,0,3312200,337400,2974800,11042808,2023.06.22
4,Lowest In Me,Staind,1627,124,1503,68,0,2739800,300900,2438900,355436,2023.06.22
5,Nobody,Avenged Sevenfold,1544,88,1456,66,0,2640500,214100,2426400,740988,2023.06.22
6,Deep End,I Prevail,1475,38,1437,62,0,2126500,210900,1915600,649275,2023.06.22
7,Another Celebration At The End Of The World,Mammoth WVH,1281,-1,1282,68,0,2357000,196900,2160100,125476,2023.06.22
8,Hate Me Too,From Ashes To New,1242,93,1149,61,0,1445000,126900,1318100,303138,2023.06.22
9,Unstoppable,Disturbed,1163,52,1111,66,0,1645400,187400,1458000,208156,2023.06.22
10,Blood In The Water,Ayron Jones,1013,42,971,63,0,1643400,358600,1284800,141588,2023.06.22
11,The Dirt I'M Buried In,Avatar,994,62,932,64,0,1268500,106000,1162500,126260,2023.06.22
12,Lost,Linkin Park,977,-110,1087,62,0,3094000,39500,3054500,1401743,2023.06.22
13,Meeting The Master,Greta Van Fleet,939,31,908,66,0,1635000,-28000,1663000,389932,2023.06.22
14,Jesus He Knows Me,Ghost,892,27,865,60,0,1157800,56900,1100900,290886,2023.06.22
15,The Death Of Peace Of Mind,Bad Omens,782,64,718,55,0,794900,135000,659900,1302946,2023.06.22
16,Beyond,Corey Taylor,746,60,686,59,0,861300,102300,759000,134585,2023.06.22
17,All Things Must Change,Bush,640,37,603,59,0,836600,124400,712200,86961,2023.06.22
