US_Chart - Mainstream Top 40 Airplay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,week_of
Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,2023.06.22
1,Sure Thing,Miguel,14246,170,14076,149,0,44548300,1252500,43295800,11086555,2023.06.22
2,Calm Down,Rema & Selena Gomez,14012,-65,14077,150,0,46022400,263800,45758600,20003930,2023.06.22
3,Karma,Taylor Swift,12860,627,12233,150,0,41782800,2114000,39668800,11801083,2023.06.22
4,Flowers,Miley Cyrus,12824,-850,13674,151,0,41987400,-2956800,44944200,16594770,2023.06.22
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",11406,-496,11902,149,0,40465500,-1189100,41654600,8997228,2023.06.22
6,Chemical,Post Malone,9826,41,9785,149,0,27769100,-500700,28269800,6833058,2023.06.22
7,Kill Bill,Sza,9432,-1556,10988,148,0,28747200,-6255100,35002300,15191771,2023.06.22
8,Last Night,Morgan Wallen,8875,697,8178,147,0,25434700,2546900,22887800,30828403,2023.06.22
9,Eyes Closed,Ed Sheeran,8684,406,8278,149,0,23925300,963700,22961600,5148925,2023.06.22
10,Dance The Night,Dua Lipa,7834,702,7132,149,0,23355300,1722500,21632800,6872370,2023.06.22
11,Die For You,Weeknd,7566,-183,7749,149,0,24491300,-700400,25191700,13178008,2023.06.22
12,Favorite Song,Toosii,7041,284,6757,150,0,16025600,82400,15943200,22407592,2023.06.22
13,Waffle House,Jonas Brothers,6204,206,5998,148,0,18668100,968600,17699500,3291249,2023.06.22
14,Cupid,Fifty Fifty,6012,727,5285,150,0,15545200,2070800,13474400,34019006,2023.06.22
15,Jaded,Miley Cyrus,4846,359,4487,148,0,11952100,1488800,10463300,3361496,2023.06.22
16,Happy,Nf,4790,24,4766,147,0,10266100,-354800,10620900,3847865,2023.06.22
17,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,4752,344,4408,149,0,12727500,769800,11957700,3879458,2023.06.22
18,Snooze,Sza,4686,707,3979,146,0,13747900,2893800,10854100,10289788,2023.06.22
19,Mourning,Post Malone,3950,50,3900,145,0,9988600,685700,9302900,5001916,2023.06.22
20,Trustfall,P!Nk,3755,103,3652,146,0,8943700,706300,8237400,2560845,2023.06.22
21,Boy's A Liar,Pinkpantheress,3507,-1332,4839,139,0,9577700,-3967000,13544700,12418634,2023.06.22
22,Fast Car,Luke Combs,3220,344,2876,140,0,8446200,1555800,6890400,21482246,2023.06.22
23,Praising You,Rita Ora,2897,261,2636,146,0,5932000,451200,5480800,584649,2023.06.22
24,Cruel Summer,Taylor Swift,2593,1431,1162,122,0,11807000,5783800,6023200,13228561,2023.06.22
25,Void,Melanie Martinez,2497,181,2316,132,0,5755000,565600,5189400,2464293,2023.06.22
26,All My Life,Lil Durk Feat. J. Cole,2192,723,1469,128,0,4707400,1541100,3166300,20462241,2023.06.22
27,Satellite,Harry Styles,1941,253,1688,137,0,3762000,363000,3399000,2300317,2023.06.22
28,Hell N Back,Bakar,1855,355,1500,138,0,3606100,1095900,2510200,4231382,2023.06.22
29,Alone,Kim Petras Feat. Nicki Minaj,1707,-581,2288,134,0,3188200,-1479800,4668000,2593601,2023.06.22
30,Jumpin,Pitbull Feat. Lil Jon,1669,211,1458,133,0,3220500,687700,2532800,921108,2023.06.22
31,What A Night,Flo Rida,1601,161,1440,140,0,3515600,542800,2972800,242017,2023.06.22
32,Popular,"Madonna, Playboi Carti, The Weeknd",1443,368,1075,129,0,2409700,917200,1492500,5178010,2023.06.22
33,Wish You The Best,Lewis Capaldi,1258,-127,1385,124,0,3212500,-278700,3491200,2911622,2023.06.22
34,Summer Baby,Jonas Brothers,1235,151,1084,122,0,2961000,714500,2246500,1698587,2023.06.22
