Rank,Song,Artist,TP Spins,+/- Chg. Spins,LP Spins,Stations,Adds,TP Audience,+/- Chg. Audience,LP Audience,TP Stream,week_of
1,Last Night,Morgan Wallen,7890,-48,7938,145,0,32868800,-87900,32956700,30828403,2023.06.22
2,Fast Car,Luke Combs,7706,1281,6425,145,0,31100200,4838800,26261400,21482246,2023.06.22
3,Next Thing You Know,Jordan Davis,7927,723,7204,145,0,30817400,3326900,27490500,8445921,2023.06.22
4,Dancin' In The Country,Tyler Hubbard,6372,-57,6429,145,0,28307500,-488400,28795900,6553301,2023.06.22
5,Memory Lane,Old Dominion,6239,180,6059,145,0,23874200,831800,23042400,7134368,2023.06.22
6,"You, Me, And Whiskey",Justin Moore & Priscilla Block,5582,437,5145,145,0,20380700,1577400,18803300,3187414,2023.06.22
7,Tennessee Orange,Megan Moroney,5133,-2246,7379,145,0,19586700,-7310700,26897400,7124193,2023.06.22
8,Need A Favor,Jelly Roll,5515,599,4916,144,0,19579500,2045400,17534100,11042808,2023.06.22
9,Your Heart Or Mine,Jon Pardi,5118,251,4867,145,0,18304200,959000,17345200,3978215,2023.06.22
10,Love You Anyway,Luke Combs,4815,661,4154,145,0,17430600,1874200,15556400,7385560,2023.06.22
11,Bury Me In Georgia,Kane Brown,4191,425,3766,144,0,16286900,1822700,14464200,4697955,2023.06.22
12,Angels,Thomas Rhett,4133,267,3866,145,0,14784600,1685100,13099500,1950752,2023.06.22
13,Girl In Mine,Parmalee,3774,215,3559,144,0,12962100,1360000,11602100,3445334,2023.06.22
14,Religiously,Bailey Zimmerman,3224,598,2626,145,0,11826100,2523600,9302500,9861075,2023.06.22
15,Drinkaby,Cole Swindell,3397,361,3036,145,0,10939900,1534700,9405200,2698126,2023.06.22
16,Standing Room Only,Tim McGraw,3183,220,2963,145,0,9809500,923300,8886200,2598681,2023.06.22
17,Everything She Ain't,Hailey Whitters,3035,9,3026,145,0,9243900,36000,9207900,2812212,2023.06.22
