Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
1,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,1,1,21,26487621,0.5,26351761,23902368,2585253,616634913,616634913,2023.06.22
2,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,2,2,13,18063003,3.8,17408872,16914058,1148945,195370591,195370591,2023.06.22
3,Something In The Orange,Zach Bryan,Warner Records,WAR,1,3,3,61,13991996,1.0,13848801,13058798,933198,341296107,773362292,2023.06.22
4,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,2,4,4,16,12312610,1.3,12160456,11560637,751973,229252943,229252943,2023.06.22
5,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,5,5,58,11238843,1.1,11114205,10707120,531723,312532765,698769086,2023.06.22
6,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,6,6,128,10283676,2.9,9990880,9246707,1036969,246799796,1006602009,2023.06.22
7,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,7,7,7,26,9214389,2.6,8981345,8561869,652520,106222101,110057712,2023.06.22
8,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,1,8,8,54,8501007,2.0,8334666,7740067,760940,282169948,560526818,2023.06.22
9,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,9,9,59,8306815,2.4,8115956,7585291,721524,249616509,450037373,2023.06.22
10,Religiously,Bailey Zimmerman, WARNER Records,WAR ,10,10,11,14,8166246,5.0,7775024,7951047,215199,77032198,77032198,2023.06.22
11,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,2,11,10,29,7511809,-1.5,7629295,7229078,282731,227126800,258162652,2023.06.22
12,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,1,12,12,395,7465121,4.5,7142021,6314266,1150855,178329103,2152631087,2023.06.22
13,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,1,13,13,53,7220235,2.2,7062640,6807134,413101,194463831,467549441,2023.06.22
14,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,11,14,18,45,6737038,3.0,6542543,6139923,597115,151748172,207985957,2023.06.22
15,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,1,16,14,251,6716096,4.8,6407210,6262218,453878,157686946,1461528273,2023.06.22
16,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,2,15,15,206,6714368,2.7,6535764,6238948,475420,151150995,1012950963,2023.06.22
17,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,10,21,19,42,6174728,5.8,5838527,5777922,396806,151152130,226591498,2023.06.22
18,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,14,17,16,16,6077056,-3.6,6301884,5688758,388298,119027488,119027488,2023.06.22
19,Memory Lane,Old Dominion,,,17,18,17,24,6015007,-3.8,6251553,5935839,79168,86412748,86419336,2023.06.22
20,Beautiful Crazy,Luke Combs,CLNV,CLNV,1,19,21,268,5813229,-1.3,5892200,5296762,516467,137967126,1589187044,2023.06.22
21,Love You Anyway,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,20,23,19,5809291,-0.9,5864819,5471202,338089,162033361,162033361,2023.06.22
22,She Had Me At Heads Carolina,Cole Swindell,Warner Music Nashville,WNS,3,24,25,62,5712030,3.5,5520304,5452098,259932,140301344,378649580,2023.06.22
23,Fall In Love,Bailey Zimmerman,Warner Music Nashville,WNS,4,27,27,71,5636238,4.9,5371579,5226235,410003,161204019,450720951,2023.06.22
24,Thank God,Kane Brown w/ Katelyn Brown,RCA NASHVILLE,RCNA,3,26,20,41,5603727,3.3,5425014,5006471,597256,188447937,314512247,2023.06.22
25,Dancin' In The Country,Tyler Hubbard,MCA NASHVILLE,MCAN,10,25,22,27,5591438,1.5,5507825,5380553,210885,115821758,133848785,2023.06.22
26,Ain't That Some,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,22,26,16,5540824,-2.3,5669438,5262228,278596,132419215,132419215,2023.06.22
27,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,23,28,201,5470480,-1.2,5538488,5162870,307610,124415397,1085417200,2023.06.22
28,Heart Like A Truck,Lainey Wilson,BROKEN BOW RECO,BB2 ,6,32,30,45,5269861,5.8,4982459,4702419,567442,167752719,241257016,2023.06.22
29,When It Rains It Pours,Luke Combs,SME/LEGACY RECORDINGS,LEGC,2,29,32,316,5185822,-0.6,5217185,4726947,458875,105339111,1241275539,2023.06.22
30,Truck Bed,Hardy,Big Loud Records,"BLR
",30,33,45,35,5031936,6.1,4743739,4881654,150282,70129105,89372607,2023.06.22
31,wait in the truck,Hardy Feat. Lainey Wilson,Big Loud Records,BLR,3,30,29,43,4975999,-1.7,5063959,4296906,679093,167597043,272003049,2023.06.22
32,Enchanted,Taylor Swift,BIG MACHINE,BGMA,4,31,31,86,4957469,-2.0,5057385,4378955,578514,104490777,366935017,2023.06.22
33,Save Me (With Lainey Wilson),Jelly Roll,,,33,56,36,4,4795772,23.6,3879904,4629587,166185,19356208,19356208,2023.06.22
34,Buy Dirt,Jordan Davis Feat. Luke Bryan,MCA NASHVILLE,MCAN,1,41,40,109,4730309,9.5,4321254,4576485,153824,104423503,534714118,2023.06.22
35,More Than My Hometown,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,2,35,37,166,4664406,3.3,4515324,4441509,222897,108876656,791756788,2023.06.22
36,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,6,34,41,136,4653330,2.1,4556311,4436664,216666,111213388,542688082,2023.06.22
37,Wild As Her,Corey Kent,RCA NASHVILLE,RCNA,11,47,33,67,4493183,6.5,4220845,4250312,242871,112069124,279371507,2023.06.22
38,Our Song,Taylor Swift,BIG MACHINE,BGMA,24,28,24,35,4421311,-17.1,5334507,2719764,1701547,59107541,329233742,2023.06.22
39,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,13,37,39,49,4417389,-1.9,4503656,4160490,256899,94302589,181008735,2023.06.22
40,Everything I Love,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,6,38,35,21,4368454,-2.1,4464399,4258757,109697,152948403,152948403,2023.06.22
41,It Matters To Her,Scotty McCreery,THE ORCHARD,ORCH,34,40,34,28,4339433,-0.8,4376132,4289879,49554,60706795,74071475,2023.06.22
42,I Wrote The Book,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,6,36,38,21,4334370,-3.9,4508206,4136857,197513,154780435,154780435,2023.06.22
