Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
1,Dancin,Aaron Smith (DJ) Feat. Luvli,ULTRA,ULTA,1,1,4,258,14404564,14.0,12640228,956377,13448187,187743390,758502437,2023.06.22
2,Worth Nothing,TWISTED,"ARTIST PARTNER GROUP, INC",ATP,1,2,1,35,11922778,-4.7,12504945,641267,11281511,452565996,489981963,2023.06.22
3,Metamorphosis,Interworld,,,2,3,5,44,9360300,-20.1,11717071,2025903,7334397,236166159,284913141,2023.06.22
4,Transgender,Crystal Castles,REPUBLIC RECORDS,R-RR,1,5,2,67,9070369,-5.8,9628268,408719,8661650,247239300,358500504,2023.06.22
5,Love Is Gone,Slander Feat. Dylan Matthew,CMG,1911,1,4,3,147,8946638,-11.8,10138720,975100,7971538,155174984,628215492,2023.06.22
6,Friendships,Pascal Letoublon, INDEPENDENT LABEL SUBMISSION,INDI,3,6,6,142,6723602,-17.4,8139671,210754,6512848,116125821,243634925,2023.06.22
7,Paris,Else,,,1,14,22,126,6284102,71.6,3661362,155182,6128920,86211863,407252406,2023.06.22
8,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,1,7,7,43,6167864,3.6,5956376,5268099,899765,201922750,365135327,2023.06.22
9,The Enemy Between My Ears,Sons Of Charlie,,,9,12,15,5,5322476,38.2,3851523,25008,5297468,15581871,15581871,2023.06.22
10,Barbie Girl,Aqua,INTERSCOPE/GEFFEN/A&M,INT ,10,17,12,395,4826768,43.7,3358146,979339,3847429,52076817,546487976,2023.06.22
11,Gigachad Theme (Phonk House Version) - Slowed,G3ox_Em,THE ORCHARD,ORCH,7,8,13,30,4431694,-9.0,4870268,96922,4334772,85252335,90688576,2023.06.22
12,Summertime Sadness,Lana Del Rey & Cedric Gervais,INTERSCOPE/GEFFEN/A&M,INT ,5,10,8,395,4330043,3.1,4201647,3655730,674313,96900004,866044522,2023.06.22
13,Good Loyal Thots,Odetari,,,13,15,14,7,4058947,11.5,3639921,2408466,1650481,26498410,26498410,2023.06.22
14,Miss You,Oliver Tree & Robin Schulz,ATLANTIC GROUP,ATLG,1,13,11,37,3302504,-10.3,3680424,1202990,2099514,150420046,240214529,2023.06.22
15,Closer,Chainsmokers Feat. Halsey,Columbia Records,COL ,1,19,18,360,3161796,-2.8,3251980,2777530,384266,75353469,2222130369,2023.06.22
16,Look Don’t Touch (Feat. Cade Clair),Odetari,,,16,24,31,6,3143319,12.2,2800604,2527201,616118,13478747,13478747,2023.06.22
17,In The Name Of Love,Martin Garrix & Bebe Rexha, RCA,RCA,1,27,26,360,2940948,10.7,2655755,1106502,1834446,71206703,936977995,2023.06.22
18,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,WARNER RECORDS,WAR ,10,18,17,11,2912416,-10.5,3255151,2843977,68439,31221924,31221924,2023.06.22
