Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
1,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,1,1,21,Country,05/06/2022,194439,0.1,194227,7217,23894614,2163494,187222,2023.06.22
2,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,2,4,13,Country,01/27/2023,142698,2.9,138742,9877,16905495,995505,132821,2023.06.22
3,Ella Baila Sola,Eslabon Armado,DEL RECORDS,DLRI,1,3,2,14,Latin,02/16/2023,127309,-8.1,138506,1224,16953990,2489035,126085,2023.06.22
4,All My Life,Lil Durk Feat. J. Cole,Alamo Records,ALAM,2,4,3,6,R&B/Hip-Hop,05/05/2023,125573,-8.1,136696,3402,15290571,3118359,122171,2023.06.22
5,Fukumean,Gunna,300 ENTERTAINME,300E,5,,,1,R&B/Hip-Hop,06/16/2023,113544,,,313,14517399,720545,113231,2023.06.22
6,Favorite Song,Toosii,CAPITOL RECORDS,CAP,5,5,5,18,R&B/Hip-Hop,01/30/2023,109604,-5.9,116433,2289,13163137,4022232,107315,2023.06.22
7,Something In The Orange,Zach Bryan,Warner Records,WAR,3,6,8,61,Country,04/22/2022,104358,1.7,102569,2332,13058435,909099,102026,2023.06.22
8,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,5,9,12,16,Country,03/03/2023,93460,1.7,91871,2807,11558252,731081,90653,2023.06.22
9,Back To The Moon,Gunna,300 ENTERTAINME,300E,9,,,1,R&B/Hip-Hop,06/16/2023,93221,,,238,11595434,1338362,92983,2023.06.22
10,La Bebe,Yng Lvcas, WEA LATINA,WEAL,5,8,14,14,Latin,09/14/2021,89998,-4.1,93847,758,11283103,2834983,89240,2023.06.22
11,Kill Bill,Sza, RCA,RCA,1,10,9,28,R&B/Hip-Hop,12/08/2022,89964,0.0,89949,979,12143611,756485,88985,2023.06.22
12,Flowers,Miley Cyrus,COLUMBIA,COL,1,12,15,23,Pop,01/13/2023,88899,2.8,86455,4357,10493732,1431532,84542,2023.06.22
13,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,6,27,30,20,Pop,08/20/2019,88002,22.0,72114,3255,11090014,313973,84747,2023.06.22
14,Calm Down,Rema & Selena Gomez,VIRGIN MUSIC GROUP,CIT,10,13,18,43,World Music,08/25/2022,86197,0.5,85747,4179,10149365,1537037,82018,2023.06.22
15,Attention,Doja Cat, RCA,RCA,15,,,1,R&B/Hip-Hop,06/15/2023,85250,,,2407,10147334,1485910,82843,2023.06.22
16,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,15,20,58,Country,03/26/2022,82450,1.4,81345,970,10704545,499964,81480,2023.06.22
17,Un X100to,"Grupo Frontera, Bad Bunny",THE ORCHARD,ORCH,3,11,13,10,Latin,04/16/2023,82397,-5.4,87099,646,10397186,1996497,81751,2023.06.22
18,Where She Goes,Bad Bunny,,,3,7,7,5,Latin,05/17/2023,81875,-14.0,95165,623,10315794,1116866,81252,2023.06.22
19,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,23,22,35,Pop,10/20/2022,76329,3.2,73986,2279,9621876,414854,74050,2023.06.22
20,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,3,14,10,25,Pop,10/20/2022,75759,-10.4,84512,2553,9512868,508848,73206,2023.06.22
21,Rodeo Dr,Gunna,300 ENTERTAINME,300E,21,,,1,R&B/Hip-Hop,06/16/2023,74673,,,126,9521724,304840,74547,2023.06.22
22,Stand By Me,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,8,19,11,4,Pop,05/12/2023,74270,-3.7,77148,2118,9360521,458619,72152,2023.06.22
23,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,23,29,28,12,Country,12/09/2022,72674,1.5,71616,4761,8559808,608325,67913,2023.06.22
24,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,30,29,128,Country,01/08/2021,72418,3.4,70049,1206,9243853,996434,71212,2023.06.22
