US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.22
1,College Park,Logic, BMG DISTRIBUTION,BMG ,1,22,37,18,6577,999.0,510,14789,2023.06.22
2,Sos,SZA, RCA,RCA ,1,2,1,28,6349,-8.1,6905,80769,2023.06.22
3,The Age Of Pleasure,Janelle Monae,ATLANTIC GROUP,ATLG,1,1,,2,4611,-75.7,18966,23577,2023.06.22
4,MICHAEL,Killer Mike,LOMA VISTA,LVR,4,,,1,3718,,0,3718,2023.06.22
5,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,5,,,1,1979,,0,1979,2023.06.22
6,No Thank You,Little Simz, AWAL,AWAL,6,,,1,1672,999.0,3,2416,2023.06.22
7,Heroes & Villains,Metro Boomin,REPUBLIC RECORDS,R-RR,1,4,7,29,1523,5.1,1449,45222,2023.06.22
8,Renaissance,Beyonce,Columbia Records,COL ,1,5,5,47,1257,-1.0,1270,388907,2023.06.22
9,Red Moon In Venus,Kali Uchis,INTERSCOPE/GEFFEN/A&M,INT ,1,6,4,16,1137,-5.6,1204,64173,2023.06.22
10,Mr. Morale & The Big Steppers,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,10,10,58,953,-2.6,978,251387,2023.06.22
11,Gemini Rights,Steve Lacy, RCA,RCA ,2,9,8,49,941,-5.7,998,78699,2023.06.22
12,Never Enough,Daniel Caesar,REPUBLIC RECORDS,R-RR,2,8,14,12,925,-8.7,1013,20210,2023.06.22
13,Goodbye & Good Riddance,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,3,11,6,266,918,-0.8,925,197287,2023.06.22
14,A Gift & A Curse,Gunna,300 ENTERTAINME,300E,14,,,1,855,,0,855,2023.06.22
15,NOW Disco,Various Artists,NOW,NOW ,3,13,9,7,747,-2.9,769,7386,2023.06.22
16,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,7,2,3,745,-31.7,1091,5043,2023.06.22
17,Hope,NF,NF REAL MUSIC,NFRM,1,12,11,11,678,-17.0,817,99296,2023.06.22
18,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,19,21,40,618,15.5,535,59932,2023.06.22
19,Dawn Fm,The Weeknd,XO / REPUBLIC RECORDS,R-RR,1,17,18,76,569,-4.0,593,255816,2023.06.22
20,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,3,20,17,196,559,6.1,527,566409,2023.06.22
21,Aftërlyfe,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,21,,,1,539,999.0,7,924,2023.06.22
22,Music By ShowTime,Showtime From Gmg, INDEPENDENT LABEL SUBMISSION,INDI,22,,,1,523,,0,523,2023.06.22
23,After Hours,The Weeknd,XO / REPUBLIC RECORDS,R-RR,1,18,15,167,517,-8.8,567,654088,2023.06.22
24,Luv 4 Rent,Smino,CAPITOL MUSIC GROUP,CAP ,3,21,19,20,515,0.6,512,8578,2023.06.22
25,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,1,16,13,47,511,-19.9,638,25434,2023.06.22
26,Good Morning Gorgeous,Mary J. Blige,300 ENTERTAINME,300E,1,30,40,71,443,29.9,341,53570,2023.06.22
27,LEGEND,John Legend,REPUBLIC RECORDS,R-RR,4,32,39,41,438,35.2,324,21171,2023.06.22
28,Planet Her,Doja Cat, RCA,RCA ,2,23,26,103,429,-8.5,469,132319,2023.06.22
29,Her Loss,"Drake, 21 Savage",OVO / REPUBLIC RECORDS,R-RR,1,25,27,33,428,6.5,402,31560,2023.06.22
30,Texas Moon,Khruangbin & Leon Bridges,Dead Oceans,DOC,1,33,36,70,413,34.5,307,60072,2023.06.22
31,Lavette!,Bettye LaVette,JAVE,JAVE,31,,,1,392,,0,392,2023.06.22
32,Entergalactic,Kid Cudi,REPUBLIC RECORDS,R-RR,2,29,29,38,372,6.3,350,22045,2023.06.22
33,Twelve Carat Toothache,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,1,28,23,55,364,-1.9,371,74864,2023.06.22
34,$oul $old $eparately,Freddie Gibbs,WARNER RECORDS,WAR,2,3,143,37,360,-91.5,4252,16555,2023.06.22
35,Maps,Billy Woods,THE ORCHARD,ORCH,1,15,22,7,357,-46.2,663,7360,2023.06.22
36,Thee Sacred Souls,Thee Sacred Souls,PELOTONRECORDS,PEDS,6,45,93,43,348,91.2,182,22652,2023.06.22
37,Ultimate Aaliyah,Aaliyah,BLACKGROUND REC,BLKG,4,36,35,88,347,26.6,274,42606,2023.06.22
38,Grudges,Kiana Lede,REPUBLIC RECORDS,R-RR,38,,,1,340,,0,340,2023.06.22
39,The Forever Story,J.I.D,INTERSCOPE/GEFFEN/A&M,INT ,5,26,25,27,319,-16.7,383,30731,2023.06.22
40,NOW Hip-Hop Party,Various Artists,NOW,NOW,3,33,31,20,296,-3.6,307,12970,2023.06.22
41,Black Elvis 2,Kool Keith,MMGZ,MMGZ,41,,,1,284,,0,284,2023.06.22
42,On Top Of The Covers,T-Pain, EMPIRE DISTRIBUTION,EMPI,11,52,68,14,275,88.4,146,2962,2023.06.22
43,"Honestly, Nevermind",Drake,OVO / REPUBLIC RECORDS,R-RR,1,35,33,14,258,-10.1,287,25572,2023.06.22
44,Cheat Codes,Danger Mouse & Black Thought, BMG DISTRIBUTION,BMG,1,44,44,45,225,23.0,183,43640,2023.06.22
45,2000,Joey Bada$$,Columbia Records,COL ,6,31,30,11,217,-35.0,334,9810,2023.06.22
46,The Rebirth Of Marvin,October London,,,46,88,76,19,178,114.5,83,1907,2023.06.22
47,I Never Liked You,Future,EPIC,EPIC,3,39,46,60,177,-16.1,211,31736,2023.06.22
48,Heart On My Sleeve,Ella Mai,INTERSCOPE/GEFFEN/A&M,INT,3,61,56,59,170,34.9,126,15408,2023.06.22
49,Come Home The Kids Miss You,Jack Harlow,ATLANTIC GROUP,ATLG,1,49,45,59,156,-1.9,159,37534,2023.06.22
50,Cocodrillo Turbo,Action Bronson,LOMA VISTA,LVR,8,55,38,38,153,10.9,138,11843,2023.06.22
51,Gasms,Smokey Robinson, INDEPENDENT LABEL SUBMISSION,INDI,6,57,71,8,146,9.8,133,3168,2023.06.22
52,Snoop Cube 40 $hort,Mount Westmore,MNRK,MNRK,7,60,65,28,145,14.2,127,12248,2023.06.22
53,Hard To Love,Moneybagg Yo,INTERSCOPE/GEFFEN/A&M,INT ,3,38,3,3,135,-41.3,230,2669,2023.06.22
54,Glorious Game,"El Michels Affair, Black Thought",333 Company,INDI,4,50,46,10,134,-15.2,158,8331,2023.06.22
55,Rtj Cu4tro,Run The Jewels, BMG DISTRIBUTION,BMG ,9,87,71,25,131,52.3,86,5461,2023.06.22
56,Louie,Kenny Beats,Merok,XL,1,67,134,22,129,21.7,106,11524,2023.06.22
57,When I Hear Your Name,MAETA,ROC NATION,R0CN,14,14,,2,126,-83.0,743,869,2023.06.22
58,Detour,Boney James,CONCORD MUSIC GROUP,CNCO,5,46,32,39,122,-31.5,178,17128,2023.06.22
59,Raven,Kelela,WARP RECORDS,WARP,3,54,53,19,116,-16.5,139,7603,2023.06.22
60,Continuance,Curren$y, INDEPENDENT LABEL SUBMISSION,INDI,11,77,83,40,112,23.1,91,8412,2023.06.22
61,Beloved! Paradise! Jazz!?,McKinley Dixon,CITYSLANG,CING,61,114,81,3,111,136.2,47,236,2023.06.22
62,FAST X (Original Motion Picture Soundtrack),Fast & Furious: The Fast Saga,"ARTIST PARTNER GROUP, INC",ATP,13,42,40,5,110,-41.5,188,1643,2023.06.22
63,Lyfë,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,9,58,55,16,108,-16.9,130,3751,2023.06.22
64,Greatest Hits Live in '76,Marvin Gaye,MERCURY STUDIOS,EGRO,15,68,62,21,107,2.9,104,3880,2023.06.22
65,Check The Volume,Eldorodo Regg, INDEPENDENT LABEL SUBMISSION,INDI,10,,,1,104,,0,4506,2023.06.22
66,Almost Healed,Lil Durk,Alamo Records,ALAM,2,59,34,4,102,-20.9,129,2631,2023.06.22
67,Through And Through,Baby Rose,Secretly Canadian,SC,42,156,96,5,101,288.5,26,474,2023.06.22
67,age/sex/location,Ari Lennox,INTERSCOPE/GEFFEN/A&M,INT ,10,65,97,41,101,-12.2,115,10495,2023.06.22
