US_Chart - Heatseekers Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Total Activity,% CHG,LW Total Activity,TW Album Sales,TW Song Sales,TW Streaming Activity,ATD,2023.06.22
1,Petals To Thorns,D4vd,INTERSCOPE/GEFFEN/A&M,INT,1,1,1,4,7518,-5.3,7936,14,218,11426231,,2023.06.22
2,Toxic Chocolate,Kali,ATLANTIC GROUP,ATLG,2,,,14,7377,,,1,962,10892272,,2023.06.22
3,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,1,2,3,19,6941,-2.9,7146,52,362,10031394,,2023.06.22
4,Blacktop,Corey Kent,RCA NASHVILLE,RCNA,2,4,2,3,6327,-4.7,6639,53,747,8261025,,2023.06.22
5,The Death Of Peace Of Mind,Bad Omens, SUMERIAN RECORDS,SUME,1,6,4,69,5798,-0.4,5819,286,1799,7240619,,2023.06.22
6,Hood Hottest Princess,Sexyy Red, INDEPENDENT LABEL SUBMISSION,INDI,3,3,,2,5318,-20.6,6701,29,1038,7771109,,2023.06.22
7,Easy On My Eyes,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,9,5,44,4647,-5.2,4901,60,1068,6566244,,2023.06.22
8,717 Tapes The Album,Warren Zeiders, WARNER Records,WAR,3,10,7,38,4467,-2.4,4579,125,599,5693707,,2023.06.22
9,Everyone's An Outlaw,Bryan Martin,AVERAGE JOES ENTERTAINMENT,AVJE,9,,,1,4453,,,143,923,6052383,,2023.06.22
10,Boy Alone,Omah Lay,SIRE,SIR,8,46,54,49,4376,157.9,1697,16,252,5872918,,2023.06.22
11,Split Decision,"Dave, Central Cee",UMGRI INTERSCOPE,INT,6,7,6,3,4361,-24.3,5762,24,103,5902814,,2023.06.22
12,Five Seconds Flat,Lizzy McAlpine,,AWAL,2,11,8,63,3618,-6.0,3849,123,200,4718403,,2023.06.22
13,Exiit,Kanii, WARNER Records,WAR,13,,,1,3482,,,9,138,5894111,,2023.06.22
14,FLOWER SHOPS (THE ALBUM),Ernest,Big Loud,BGL,1,14,11,67,3470,-1.3,3516,38,193,4709719,,2023.06.22
15,Drowning,Jessie Murph,Columbia Records,COL ,1,12,10,19,3466,-3.7,3599,38,217,4848521,,2023.06.22
16,Come Get Your Memory,Chase Matthew, WARNER Records,WAR ,8,8,,2,3457,-31.6,5057,109,572,4417010,,2023.06.22
17,We Were Cowboys,Kameron Marlowe,CLNV,CLNV,1,13,14,43,3410,-3.5,3534,36,299,4588292,,2023.06.22
18,We Eat The Most,Skilla Baby,INTERSCOPE/GEFFEN/A&M,INT ,18,,,1,3301,,,7,36,4921244,,2023.06.22
19,Cross Country,Breland,ATLANTIC GROUP,ATLG,1,16,13,41,3273,-3.7,3398,23,226,4165244,,2023.06.22
20,What I Didn't Tell You,Coco Jones,DEF JAM/DEF SOUL,DEF,6,17,12,33,3229,-2.1,3298,43,480,4706909,,2023.06.22
21,Genesis,Peso Pluma,THE ORCHARD,ORCH,21,,,1,3140,,,197,299,4266677,,2023.06.22
22,Geezyworld 2,Ohgeesy,ATLANTIC GROUP,ATLG,2,18,15,7,3057,-2.2,3126,35,173,4337468,,2023.06.22
23,Texas Boy,Mike Dimes,EPIC,EPIC,23,,,1,2854,,,14,74,3714228,,2023.06.22
24,Beezy,Doe Boy,EPIC,EPIC,5,5,,2,2847,-56.5,6549,13,59,3759052,,2023.06.22
25,Where The Shooters Be,Sleazyworld Go,ISLAND,ISL ,1,19,18,32,2687,-3.4,2781,3,57,4294715,,2023.06.22
26,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,26,,,1,2471,,,1979,16,658127,,2023.06.22
27,Junkie Mode,Deebaby,CREATE MUSIC GROUP,CTMG,13,23,22,10,2299,-4.9,2418,4,24,3508184,,2023.06.22
28,Bridges,Steve Lukather, INDEPENDENT LABEL SUBMISSION,INDI,28,,,1,2264,,,2193,116,76982,,2023.06.22
