US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
1,Flowers,Miley Cyrus,COLUMBIA,COL,1,2,1,23,14441391,2.0,14156546,10498465,3942926,736824489,736824489,2023.06.22
2,Give It To Me,Timbaland,INTERSCOPE/GEFFEN/A&M,INT ,1,1,3,24,14411632,-6.0,15330993,667216,13744416,158661741,232043563,2023.06.22
3,Funny Song,Cavendish Music,ole media management L.P.,OLE,3,5,13,27,13009160,12.2,11592351,10473,12998687,210238552,245579752,2023.06.22
4,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,4,12,14,47,12810827,18.4,10817335,11092199,1718628,135305497,412885017,2023.06.22
5,Boy's A Liar,Pinkpantheress,NEW ELEKTRA,NELK,1,3,5,29,12210003,-3.7,12682648,8182291,4027712,569164858,589591199,2023.06.22
6,Golden Hour,Jvke,AWAL,AWAL,4,11,15,44,11339377,4.0,10906822,7094504,4244873,327820018,543119675,2023.06.22
7,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,13,8,35,11337938,10.4,10273422,9629358,1708580,332729830,598103746,2023.06.22
8,Daylight,David Kushner,DAVID KUSHNER,DVK,7,7,12,10,11127151,1.1,11004466,6997971,4129180,99930378,99930378,2023.06.22
9,If We Ever Broke Up,Mae Stephens,Universal Music Enterprises,UME ,9,26,62,17,10840537,73.6,6244240,1900377,8940160,80240070,80240070,2023.06.22
10,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,1,4,2,35,10735533,-11.7,12155446,9515046,1220487,156153848,269325579,2023.06.22
11,Another Love,Tom Odell, RCA,RCA,3,6,7,38,10456514,-6.7,11205616,2683381,7773133,286447350,836778971,2023.06.22
12,Stand By Me,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,12,,,1,9860214,-3.4,10209808,9360846,499368,47284848,47284848,2023.06.22
13,Unstoppable,Sia, RCA,RCA,9,16,24,82,9792090,22.2,8014500,2840119,6951971,220229150,729377205,2023.06.22
14,As It Was,Harry Styles,Columbia Records,COL ,1,10,11,65,9468438,-13.4,10932487,7361416,2107022,275241456,1038686902,2023.06.22
15,Bloody Mary,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,1,9,9,37,9434603,-13.9,10962279,1793554,7641049,522182973,745243452,2023.06.22
16,Counting Stars,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,4,8,4,395,8592814,-21.7,10968296,3087128,5505686,231143435,1627352228,2023.06.22
17,Unholy,Sam Smith & Kim Petras,CAPITOL RECORDS,CAP,1,18,19,40,8148227,12.5,7239788,4651981,3496246,343109747,721273437,2023.06.22
18,Makeba,Jain, RCA,RCA,18,132,0,3,8008823,175.8,2903525,2762018,5246805,16137793,61571813,2023.06.22
19,Stay,The Kid LAROI & Justin Bieber,Columbia Records,COL ,1,28,28,102,7852877,26.7,6195748,3899528,3953348,195244807,1497610469,2023.06.22
20,Sunroof,Nicky Youre & Dazy,SONY/COLUMBIA,COL,7,14,10,66,7843059,-12.3,8945443,4424901,3418158,185976211,493186567,2023.06.22
21,Burn The House Down,AJR, BMG DISTRIBUTION,BMG,8,31,16,129,7222461,20.0,6019946,992745,6229716,118280286,725125420,2023.06.22
22,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,3,23,22,56,6772522,2.4,6613965,6272639,499883,187620755,462144579,2023.06.22
23,Get You The Moon,Kina Feat. Snow,Columbia Records,COL ,14,21,64,221,6698305,-1.2,6777570,1018242,5680063,91152667,794914443,2023.06.22
24,Misery,Maroon 5,INTERSCOPE/GEFFEN/A&M,INT,6,15,6,23,6670723,-25.0,8894876,495885,6174838,107088806,374696194,2023.06.22
25,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,2,36,20,228,6653356,19.3,5577863,3711479,2941877,131469953,1758464495,2023.06.22
26,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,1,25,27,150,6643149,3.6,6412749,4889572,1753577,156921758,1533035920,2023.06.22
27,World's Smallest Violin,AJR,S-CURVE RECORDS,SCRV,1,20,17,52,6521771,-3.8,6777394,1318788,5202983,272627781,712790934,2023.06.22
28,Blank Space,Taylor Swift,BIG MACHINE,BGMA,21,24,25,331,6444261,-0.5,6476706,5496414,947847,137651908,1199373283,2023.06.22
29,Lovely,Billie Eilish w/ Khalid,INTERSCOPE/GEFFEN/A&M,INT ,7,19,39,270,6172177,-10.8,6920912,2969609,3202568,153943798,1791907067,2023.06.22
30,Cardigan,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,1,22,30,88,6069617,-10.2,6762774,4637939,1431678,118895020,462526327,2023.06.22
31,Dandelions,Ruth B.,Columbia Records,COL ,7,38,41,80,6013383,12.1,5364022,2598789,3414594,165511860,594773092,2023.06.22
32,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,32,36,147,5910078,-1.9,6021621,4905572,1004506,165947773,1324376418,2023.06.22
33,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,34,37,329,5903601,-0.9,5955052,4110828,1792773,142965410,2569867881,2023.06.22
34,Made You Look,Meghan Trainor,EPIC,EPIC,3,17,18,35,5890441,-21.2,7473574,2787138,3103303,228904366,380245127,2023.06.22
35,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,13,37,33,395,5800690,4.3,5561382,4828829,971861,127678686,1556467775,2023.06.22
36,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,3,35,26,10,5734187,-1.6,5829282,5371371,362816,80250480,80250480,2023.06.22
37,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,30,29,35,5668923,-5.9,6026993,5405886,263037,188494591,327080903,2023.06.22
38,Arcade,Duncan Laurence,CAPITOL MUSIC GROUP,CAP ,4,27,34,134,5494094,-11.5,6205236,1178321,4315773,142373185,969211705,2023.06.22
39,Escapism,Raye,THE ORCHARD,ORCH,3,29,31,30,5467282,-10.0,6073906,3933766,1533516,267279858,309950876,2023.06.22
40,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,52,52,199,5317620,15.4,4608247,4165306,1152314,114072454,1586317401,2023.06.22
41,Style,Taylor Swift,BIG MACHINE,BGMA,36,41,45,75,5252493,0.9,5205934,4791983,460510,97098753,570506513,2023.06.22
42,Want U Back,Cher Lloyd,EPIC,EPIC,13,40,51,83,5161901,-2.1,5275251,433235,4728666,93288187,558181483,2023.06.22
43,A Thousand Years,Christina Perri,ATLANTIC GROUP,ATLG,28,43,55,394,5136857,-0.7,5172986,1557530,3579327,81894164,1296944710,2023.06.22
44,Don't Blame Me,Taylor Swift,BIG MACHINE,BGMA,34,44,43,63,5109216,3.0,4958982,4570758,538458,99050856,331871615,2023.06.22
45,Poker Face,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,20,33,21,368,4948609,-17.2,5976850,2517553,2431056,125630845,949906393,2023.06.22
46,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,3,48,46,93,4915380,2.0,4818174,4436768,478612,127546939,652657726,2023.06.22
47,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,46,50,197,4910139,1.3,4845139,4640383,269756,99102900,741632128,2023.06.22
48,Happier Than Ever,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,2,45,32,99,4833863,-2.1,4935278,2921911,1911952,122766049,744245855,2023.06.22
49,Party In The U.S.A.,Miley Cyrus,HOLLYWOOD RECORDS,HOL ,20,50,49,374,4761559,0.2,4750092,4180451,581108,113954884,990145635,2023.06.22
50,Set Fire To The Rain,Adele,Columbia Records,COL ,15,68,68,158,4734883,19.7,3956108,2567231,2167652,100169358,747260150,2023.06.22
51,Bad Blood,Taylor Swift,BIG MACHINE,BGMA,39,55,61,125,4725237,7.5,4397330,3100795,1624442,79188415,784353763,2023.06.22
52,Hits Different,Taylor Swift,REPUBLIC RECORDS,R-RR,9,42,23,4,4695727,-9.7,5198704,4611096,84631,28567768,28617291,2023.06.22
53,Let Me Down Slowly,Alec Benjamin,ARTIST PARTNERS,APG1,17,49,63,217,4607171,-3.6,4779315,1772432,2834739,87330665,850440425,2023.06.22
54,I Knew You Were Trouble (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,5,90,47,50,4560109,31.1,3479493,1695941,2864168,83801048,222230820,2023.06.22
55,I Like You (A Happier Song),Post Malone Feat. Doja Cat,MERCURY / REPUBLIC RECORDS,R-MR,2,59,58,55,4424579,2.9,4299801,3462494,962085,135819242,429515711,2023.06.22
56,Snow On The Beach,Taylor Swift Feat. Lana Del Rey,REPUBLIC RECORDS,R-RR,4,47,35,34,4360918,-9.7,4831764,4287473,73445,83621517,197962927,2023.06.22
57,Mona Lisa (Spider-Man: Across The Spider-Verse),Dominic Fike,SONY/COLUMBIA,COL,56,56,88,3,4349732,-1.2,4402279,4182472,167260,12246594,12246594,2023.06.22
58,Take On Me,A-Ha,HIP-O RECORDS,HIPD,18,65,48,395,4250533,3.8,4093329,3172949,1077584,96059782,1183119313,2023.06.22
59,Sweet Dreams (Are Made Of This),Eurythmics, RCA,RCA,9,58,44,274,4237055,-1.9,4319245,2032899,2204156,109266938,937483749,2023.06.22
60,Mourning,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,10,53,42,5,4111167,-10.2,4579422,4004204,106963,29503447,29503447,2023.06.22
61,All Of The Girls You Loved Before,Taylor Swift,REPUBLIC RECORDS,R-RR,4,118,103,14,4044474,33.4,3030930,2713436,1331038,82315313,82315313,2023.06.22
62,Hummingbird,"Metro Boomin, James Blake",REPUBLIC RECORDS,R-RR,39,39,40,3,4043322,-24.5,5352964,3769085,274237,14998938,14998938,2023.06.22
63,Without Me,Halsey,ASTRALWERKS,ASTW,1,57,57,246,4033658,-6.8,4327973,3160104,873554,110221780,2016464747,2023.06.22
64,Say Yes To Heaven,Lana Del Rey,INTERSCOPE/GEFFEN/A&M,INT ,14,54,38,5,4027463,-11.8,4565037,3664792,362671,35506906,37421536,2023.06.22
65,Eyes Closed,Ed Sheeran,ATLANTIC GROUP,ATLG,18,64,59,13,4014480,-4.0,4181346,3799791,214689,66745532,66745532,2023.06.22
66,AFTER DARK,Mr.Kitty,THE ORCHARD,ORCH,31,70,66,40,4005943,2.3,3916997,2023090,1982853,111248842,318493292,2023.06.22
67,Little Girl Gone,Chinchilla,,,58,82,102,9,3980011,11.1,3583248,1657773,2322238,33034271,33034271,2023.06.22
68,If We Ever Broke Up,"Mae Stephens, Speed Radio, Xxtristanxo",,,68,,,1,3978908,558.3,604401,46513,3932395,4848559,4848559,2023.06.22
