US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
1,St. Chroma,"Tyler, The Creator",COLUMBIA,COL,1,,,1,24418901,0.0,0,23532441,886460,25469761,25469761,2024.10.31
2,Noid,"Tyler, The Creator",COLUMBIA,COL,2,5,0,2,23161329,117.9,10629081,21815575,1345754,33790410,33790410,2024.10.31
3,Sticky,"Tyler, The Creator",COLUMBIA,COL,3,,,1,19887526,0.0,0,19322724,564802,19887526,19887526,2024.10.31
4,"Darling, I","Tyler, The Creator",COLUMBIA,COL,4,,,1,19581563,0.0,0,19073638,507925,19581563,19581563,2024.10.31
5,Rah Tah Tah,"Tyler, The Creator",COLUMBIA,COL,5,,,1,19470052,0.0,0,18962435,507617,19470052,19470052,2024.10.31
6,Thriller,Michael Jackson,SME/LEGACY RECORDINGS,LEGC,4,30,78,65,16714511,180.7,5955210,13842675,2871836,83288571,997229479,2024.10.31
7,Thought I Was Dead,"Tyler, The Creator",COLUMBIA,COL,7,,,1,16248893,0.0,0,14008046,2240847,16248893,16248893,2024.10.31
8,Timeless,Weeknd & Playboi Carti,XO / REPUBLIC RECORDS,R-RR,1,1,2,5,14248341,-7.7,15428915,13508497,739844,95285912,95285912,2024.10.31
9,Hey Jane,"Tyler, The Creator",COLUMBIA,COL,9,,,1,13654952,0.0,0,13370496,284456,13654952,13654952,2024.10.31
10,Not Like Us,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,2,3,26,13577049,-4.5,14223860,10754128,2822921,921340650,921340650,2024.10.31
11,Judge Judy,"Tyler, The Creator",COLUMBIA,COL,11,,,1,12882374,0.0,0,12605712,276662,12882374,12882374,2024.10.31
12,Take Your Mask Off,"Tyler, The Creator",COLUMBIA,COL,12,,,1,12715139,0.0,0,12446317,268822,12715139,12715139,2024.10.31
13,WHATCHU KNO ABOUT ME,GloRilla & Sexyy Red,INTERSCOPE/GEFFEN/A&M,INT ,3,3,5,3,12614779,2.0,12369918,10538630,2076149,37297616,37297616,2024.10.31
14,Like Him,"Tyler, The Creator",COLUMBIA,COL,14,,,1,12430103,0.0,0,12101216,328887,12430103,12430103,2024.10.31
15,I Killed You,"Tyler, The Creator",COLUMBIA,COL,15,,,1,12224983,0.0,0,11968269,256714,12224983,12224983,2024.10.31
16,Tomorrow,"Tyler, The Creator",COLUMBIA,COL,16,,,1,10903726,0.0,0,10673345,230381,10903726,10903726,2024.10.31
17,Somebody's Watching Me,Rockwell,MOTOWN,MOT ,6,132,0,17,10859537,209.4,3509875,10223920,635617,50655764,436258390,2024.10.31
18,25,Rod Wave,ALAMO,ALAM,1,4,1,3,10408110,-15.5,12311131,8722499,1685611,40282357,40282357,2024.10.31
19,Balloon,"Tyler, The Creator",COLUMBIA,COL,19,,,1,10340899,0.0,0,10129839,211060,10340899,10340899,2024.10.31
20,Heart Of A Woman,Summer Walker,INTERSCOPE/GEFFEN/A&M,INT ,20,,,1,9840014,149353.4,6584,8922073,917941,9846598,9846598,2024.10.31
21,Million Dollar Baby,Tommy Richman,PULSE RECORDS,PL1,1,6,7,27,9703276,-7.8,10527219,9143619,559657,718052770,718052770,2024.10.31
22,See You Again,"Tyler, The Creator",SONY/COLUMBIA,COL,9,10,25,158,9671106,15.0,8407920,8940358,730748,286868308,1295342596,2024.10.31
23,Tgif,Glorilla,INTERSCOPE/GEFFEN/A&M,INT ,5,8,8,19,9345649,-0.1,9351827,7853430,1492219,180049700,180049700,2024.10.31
24,I Hope You Find Your Way Home,"Tyler, The Creator",COLUMBIA,COL,24,,,1,8730837,0.0,0,8547731,183106,8730837,8730837,2024.10.31
