US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
1,Space Song,Beach House, SUB POP,SUBP,1,18,21,119,10716505,97.4,5429474,2827929,7888576,155763187,596696693,2023.06.22
2,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,2,4,4,285,10491171,11.1,9438860,4775208,5715963,145141691,868681753,2023.06.22
3,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,6,7,124,8923890,9.2,8175080,6790362,2133528,212987930,1599996868,2023.06.22
4,Hold The Line,Toto,Columbia Records,COL ,4,117,0,2,8887263,220.6,2771788,1638031,7249232,46167161,341986604,2023.06.22
5,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,5,3,59,8384899,-6.5,8971245,5679852,2705047,261210646,485578828,2023.06.22
6,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,7,11,395,8363985,6.4,7862223,3570829,4793156,173437791,960553598,2023.06.22
7,The Perfect Girl,Mareux, WARNER Records,WAR ,2,2,2,53,7894653,-17.5,9573380,1286580,6608073,189477059,354063314,2023.06.22
8,Just a Girl,No Doubt,INTERSCOPE/GEFFEN/A&M,INT ,1,1,1,13,7878935,-20.2,9874794,1084799,6794136,106008718,321804849,2023.06.22
9,Run Boy Run,Woodkid,INTERSCOPE/GEFFEN/A&M,INT ,9,17,12,20,7853980,39.8,5617262,316180,7537800,66642985,224245718,2023.06.22
10,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,11,14,333,7371023,5.5,6989431,3632447,3738576,157904386,2734098811,2023.06.22
11,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,8,6,67,7150047,-8.3,7800076,3097422,4052625,239423058,500321721,2023.06.22
12,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,9,8,395,6839990,-7.5,7393656,4877451,1962539,229047985,1645364643,2023.06.22
13,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,3,3,0,2,6681943,-29.4,9463214,6567155,114788,16152725,16152725,2023.06.22
14,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,13,15,60,6611256,3.6,6383362,5807823,803433,145151397,357308100,2023.06.22
15,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,14,17,373,6588802,5.1,6269273,6032234,556568,146392510,1311649356,2023.06.22
16,Dream On,Aerosmith,Columbia Records,COL ,1,16,10,390,6580260,13.3,5805560,3158815,3421445,196938213,962974788,2023.06.22
17,Home,Edith Whiskers, INDEPENDENT LABEL SUBMISSION,INDI,1,109,62,126,6213426,118.5,2843253,450646,5762780,110811840,534985085,2023.06.22
18,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,12,16,395,6034900,-9.6,6678091,2189328,3845572,107204244,1265461289,2023.06.22
19,Yellow,Coldplay,ATLANTIC GROUP,ATLG,7,31,51,336,5891524,26.8,4646107,2989289,2902235,123265256,846637612,2023.06.22
20,Everybody Talks,Neon Trees,ISLAND,ISL ,4,43,19,201,5610649,33.6,4198218,1890337,3720312,90612929,711722134,2023.06.22
21,Devochka S Kare,Mukka,,,9,104,58,33,5577835,90.7,2925047,9510,5568325,74197436,153413675,2023.06.22
22,House of Memories,Panic! At The Disco,FUELED BY RAMEN,FUER,2,10,9,90,5499373,-23.3,7173768,1542646,3956727,194050247,764463797,2023.06.22
23,Take Me to Church,Hozier,Columbia Records,COL ,3,34,26,395,4970289,12.3,4427613,3422353,1547936,130532927,1414973452,2023.06.22
24,Romantic Homicide,D4vd,,,1,19,22,46,4968491,-3.1,5126905,4232646,735845,193874778,396494631,2023.06.22
25,Don't Stop Believin',Journey,Columbia Records,COL ,2,26,23,395,4951921,4.3,4747136,4873144,78777,116451010,1396937031,2023.06.22
26,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,5,28,27,395,4875660,3.2,4725986,3829608,1046052,140650043,1263381961,2023.06.22
27,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,22,28,395,4792978,-4.2,5003885,4193664,599314,113261697,1225127761,2023.06.22
28,Past Lives,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,28,65,128,5,4682830,26.2,3710026,971534,3711296,42750438,135964468,2023.06.22
29,Enemy,"Imagine Dragons, JID & League Of Legends",INTERSCOPE/GEFFEN/A&M,INT ,1,38,40,86,4672239,6.8,4374515,2466774,2205465,133287636,826612132,2023.06.22
30,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,36,43,382,4550203,3.8,4383338,3605171,945032,100804170,946193645,2023.06.22
31,Blade Runner 2049,Synthwave Goose,,,21,21,52,22,4485579,-11.0,5039287,27304,4458275,67272260,147479341,2023.06.22
32,Here With Me,D4vd,,,1,24,18,37,4441495,-10.4,4959372,3548082,893413,185262999,246375048,2023.06.22
33,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,8,52,59,42,4415128,12.3,3933247,1952305,2462823,84862674,395599283,2023.06.22
34,Mr. Blue Sky,Electric Light Orchestra,EPIC,EPIC,7,41,29,321,4385899,3.6,4233169,2145328,2240571,86316747,942012874,2023.06.22
35,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,27,24,395,4367787,-7.6,4725793,2532275,1835512,141963031,1237608376,2023.06.22
36,Everlong,Foo Fighters, RCA,RCA,15,33,30,357,4343759,-2.8,4470128,3989843,353916,121546599,732126171,2023.06.22
37,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,30,45,42,394,4316088,3.4,4174226,3799402,516686,90626317,871491661,2023.06.22
37,Hymn For The Weekend,Coldplay,NOW,NOW ,1,44,77,260,4316088,3.1,4184374,1334223,2981865,129435774,1187751330,2023.06.22
39,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,39,143,170,45,4249170,69.6,2504805,2016497,2232673,49117831,397903935,2023.06.22
40,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,48,37,321,4170632,1.3,4117518,3677399,493233,91211600,1807532755,2023.06.22
41,I Wanna Be Your Slave,Maneskin, RCA,RCA,3,23,20,95,4151671,-16.9,4998228,789973,3361698,63700748,355693839,2023.06.22
42,Beggin,Maneskin,Sony Music Latin/Arista,ARML,1,29,5,104,4151249,-11.5,4692739,1627108,2524141,125231505,831139551,2023.06.22
43,The Chain,Fleetwood Mac,WARNER RECORDS,WAR ,8,56,49,322,4125828,6.2,3884661,3530370,595458,93459894,832145360,2023.06.22
44,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,51,38,395,4108043,2.5,4008956,3423543,684500,104634001,1201975707,2023.06.22
45,Livin' On A Prayer,Bon Jovi,ISLAND,ISL ,18,67,45,395,4084772,11.6,3661384,3180917,903855,93819317,955176157,2023.06.22
46,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,5,46,41,394,4073979,-1.8,4149065,3630394,443585,86267101,996766033,2023.06.22
47,Sweet Child O' Mine,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,4,53,44,395,4059252,3.2,3932524,3517757,541495,100094118,1156966408,2023.06.22
48,Ceilings,Lizzy Mcalpine,,,1,50,33,23,4058047,0.9,4023021,3070550,987497,153925096,169955809,2023.06.22
49,Mr. Brightside,Killers,ISLAND,ISL,9,54,46,395,4032306,2.9,3919941,3766204,266102,100305415,1206547629,2023.06.22
50,Stressed Out,Twenty One Pilots,FUELED BY RAMEN,FUER,1,47,61,395,4031410,-2.9,4150040,2563919,1467491,79653174,1686655832,2023.06.22
51,All Star,Smash Mouth,INTERSCOPE/GEFFEN/A&M,INT ,2,20,25,386,3974832,-21.7,5074896,1866609,2108223,93831230,1264332929,2023.06.22
52,Thunderstruck,AC/DC,Columbia Records,COL ,8,60,48,395,3966613,4.0,3815585,3383768,582845,92236096,1105905090,2023.06.22
53,Creep,Radiohead,XLR,XLR,17,49,36,344,3956180,-1.8,4030255,3452922,503258,81169441,667326059,2023.06.22
54,Ophelia,Lumineers,DUA,DUA,2,15,13,385,3948580,-32.3,5835983,2308186,1640394,96369205,1030579305,2023.06.22
55,Centuries,Fall Out Boy,ISLAND,ISL ,3,77,80,395,3911899,16.5,3358372,1807501,2104398,101443848,1246024415,2023.06.22
56,Bohemian Rhapsody,Queen,HOLLYWOOD RECORDS,HOL ,1,69,55,395,3891235,8.0,3601739,3231729,659506,85028517,1552228784,2023.06.22
57,Let Her Go,Passenger,NOW,NOW ,4,63,32,395,3883006,3.6,3748963,1975428,1907578,76365970,1221434228,2023.06.22
58,Every Breath You Take,Police,SME/LEGACY RECORDINGS,LEGC,26,75,69,395,3843611,11.3,3452227,2644385,1199226,71532505,809435289,2023.06.22
59,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,20,32,102,50,3797938,-16.3,4537586,3719747,78191,69453698,154547801,2023.06.22
60,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,55,39,21,3793944,-2.9,3909213,3707239,86705,126630516,126630516,2023.06.22
61,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,64,56,325,3790155,1.6,3732062,3459967,330188,93111074,975993627,2023.06.22
62,I Wanna Be Yours,Arctic Monkeys,DOMINO,DOMI,17,76,64,51,3738025,9.4,3416170,2867073,870952,101388162,356428201,2023.06.22
63,505,Arctic Monkeys, WBR - PARLOPHONE,WBR,9,59,53,154,3709186,-3.1,3828779,3326846,382340,111799953,609765339,2023.06.22
64,Eye Of The Tiger,Survivor, RCA,RCA,9,71,54,395,3689117,3.2,3573691,2551861,1137256,97329291,1164337042,2023.06.22
65,Life Goes On,Oliver Tree,ATLANTIC GROUP,ATLG,3,25,99,83,3610095,-27.0,4947494,656930,2953165,62732803,351757205,2023.06.22
66,Green Green Grass,George Ezra,Columbia Records,COL ,7,30,47,23,3592999,-23.4,4689754,923929,2669070,114693204,125894821,2023.06.22
67,I Love You So,Walters, WARNER Records,WAR ,4,79,114,89,3541828,6.1,3337931,2067573,1474255,80575638,458479343,2023.06.22
68,Mary On A Cross,Ghost,LOMA VISTA,LVR,6,73,35,45,3513082,1.2,3472856,1469978,2043104,136529377,276766090,2023.06.22
69,IN THIS SHIRT,Irrepressibles,DECCA INTERNATIONAL,DECC,40,62,0,11,3488202,-7.0,3749092,310648,3177554,50192386,157310237,2023.06.22
70,Apocalypse,Cigarettes After Sex,PTKF,PTK ,24,78,63,85,3430074,2.6,3343820,2921111,508963,96373817,385908837,2023.06.22
