US_Chart - Video On-Demand Streaming (Weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Video,% CHG,LP Video,YTD Video,ATD Video,2023.06.22
1,Cupid,Fifty Fifty,WARNER RECORDS,WAR ,1,1,1,13,23372368,1.2,23103851,234593578,234593578,2023.06.22
2,Pastlives,BORNS,,,2,5,5,6,23292862,52.0,15324527,87482387,97127263,2023.06.22
3,Blue Blood,"Heinz Kiessling, Gema",,,2,2,3,15,18609308,4.9,17735454,169638056,179546192,2023.06.22
4,She Knows,J. Cole Feat. Amber Coffman,Columbia Records,COL ,1,3,4,98,16027780,0.9,15884971,394472806,864399793,2023.06.22
5,Give It To Me,Timbaland,INTERSCOPE/GEFFEN/A&M,INT ,5,6,7,24,13744416,-6.1,14635756,135073112,151004329,2023.06.22
6,Dancin,Aaron Smith (DJ) Feat. Luvli,ULTRA,ULTA,6,11,16,127,13448187,15.0,11692373,164754788,554113563,2023.06.22
7,Funny Song,Cavendish Music,ole media management L.P.,OLE,5,12,17,33,12998687,12.2,11582627,209950965,244845632,2023.06.22
8,MONKEYS SPINNING MONKEYS,Kevin Macleod,,,8,8,13,83,11608794,-9.1,12777083,157172662,310344242,2023.06.22
9,Worth Nothing,TWISTED,"ARTIST PARTNER GROUP, INC",ATP,1,10,6,30,11281511,-4.8,11852897,425734349,449346488,2023.06.22
10,First Step,Hans Zimmer,Watertower Music,WTM,1,4,2,22,10191745,-33.7,15365934,353742218,414408111,2023.06.22
11,Cornfield Chase,Hans Zimmer,Watertower Music,WTM,11,18,155,24,10107941,12.6,8977068,74958707,119400443,2023.06.22
12,Running Out Of Time,"Lin-Manuel Miranda, Ynairaly Simo, Chris Jackson, Veronica Jackson...",ATLANTIC GROUP,ATLG,9,9,10,7,9991344,-18.1,12197806,62243158,69891793,2023.06.22
13,Peaches,Jack Black,,,1,13,8,11,9929972,-8.8,10889608,162890021,162890021,2023.06.22
14,Area Codes,Kali,ATLANTIC GROUP,ATLG,7,7,9,7,9473060,-27.2,13014003,66148441,66148441,2023.06.22
15,If We Ever Broke Up,Mae Stephens,Universal Music Enterprises,UME ,15,58,148,8,8940160,104.1,4379939,34905923,34905923,2023.06.22
16,Transgender,Crystal Castles,REPUBLIC RECORDS,R-RR,3,15,12,48,8661650,-6.0,9214629,235763842,318961583,2023.06.22
17,Flower,Jisoo,,,14,23,21,12,8575557,4.3,8225910,78567674,78567674,2023.06.22
18,I Wonder,Kanye West,DEF JAM RECORDINGS,DEF ,18,30,48,4,8460340,17.0,7233384,26526855,55382584,2023.06.22
19,Love Is Gone,Slander Feat. Dylan Matthew,CMG,1911,5,16,15,104,7971538,-13.2,9180243,128516566,427812975,2023.06.22
20,Space Song,Beach House, SUB POP,SUBP,20,135,137,30,7888576,216.5,2492063,63320617,149414966,2023.06.22
21,Another Love,Tom Odell, RCA,RCA,3,20,23,84,7773133,-8.8,8525165,205872208,512019263,2023.06.22
22,Calm Down,Rema & Selena Gomez,VIRGIN MUSIC GROUP,CIT,6,26,20,42,7688916,-4.3,8037609,212754398,277455653,2023.06.22
23,Bloody Mary,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,1,17,22,34,7641049,-16.3,9127535,437103484,604568548,2023.06.22
24,INDUSTRY BABY,Lil Nas X & Jack Harlow,SONY/COLUMBIA,COL,1,24,24,101,7573514,-7.7,8208538,273372859,1036039684,2023.06.22
25,Run Boy Run,Woodkid,INTERSCOPE/GEFFEN/A&M,INT ,25,44,33,21,7537800,42.2,5300031,57630772,146002575,2023.06.22
26,Metamorphosis,Interworld,,,6,14,28,28,7334397,-23.5,9582469,170177136,185583222,2023.06.22
27,Hold The Line,Toto,Columbia Records,COL ,27,,,1,7249232,456.2,1303454,12656206,65680443,2023.06.22
28,Unstoppable,Sia, RCA,RCA,5,43,71,66,6951971,30.0,5349227,143445764,442124222,2023.06.22
29,Just a Girl,No Doubt,INTERSCOPE/GEFFEN/A&M,INT ,12,19,14,12,6794136,-22.7,8792343,80998715,111838619,2023.06.22
30,The Perfect Girl,Mareux, WARNER Records,WAR ,12,22,18,39,6608073,-19.9,8250550,147380418,223432781,2023.06.22
31,Cupid (Twin Ver.) [slowed Down,Fifty Fifty,Warner Records,WAR,25,25,0,2,6607445,-19.3,8190366,14797811,14797811,2023.06.22
32,Put It On Da Floor,Latto, RCA,RCA,32,64,38,3,6522392,54.7,4215734,20052762,20052762,2023.06.22
33,Friendships,Pascal Letoublon, INDEPENDENT LABEL SUBMISSION,INDI,17,28,26,42,6512848,-17.8,7921443,110869506,200514643,2023.06.22
34,Burn The House Down,AJR, BMG DISTRIBUTION,BMG,3,46,25,73,6229716,24.3,5010592,92479931,356787149,2023.06.22
35,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,8,33,29,19,6184989,3.8,5959536,39176887,241894303,2023.06.22
36,Misery,Maroon 5,INTERSCOPE/GEFFEN/A&M,INT,11,21,11,27,6174838,-26.4,8386749,93719623,200981911,2023.06.22
37,Paris,Else,,,1,87,117,113,6128920,74.5,3511299,81967710,371234938,2023.06.22
38,Into Your Arms,Witt Lowry Feat. Ava Max,ARTIST PARTNERS,APG1,1,42,49,100,5936789,10.9,5354854,120195744,583991902,2023.06.22
39,Close Eyes,Dvrst,,,8,37,37,60,5775632,1.2,5705194,66906592,154962157,2023.06.22
40,Home,Edith Whiskers, INDEPENDENT LABEL SUBMISSION,INDI,3,145,96,126,5762780,142.5,2376289,97909889,460264976,2023.06.22
41,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,41,49,57,5,5715963,16.1,4921524,41647913,209882454,2023.06.22
42,Get You The Moon,Kina Feat. Snow,Columbia Records,COL ,10,36,98,119,5680063,-0.9,5733541,61769754,376506506,2023.06.22
43,Part Of Your World,Halle,DISNEY,DISN,43,68,85,4,5624317,38.4,4063445,16833216,16833216,2023.06.22
44,Devochka S Kare,Mukka,,,7,107,70,44,5568325,91.1,2914241,73986421,152260277,2023.06.22
45,Counting Stars,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,4,27,19,203,5505686,-31.0,7974292,155862045,868144288,2023.06.22
46,Ella Baila Sola,Eslabon Armado,DEL RECORDS,DLRI,17,41,40,14,5299744,-1.6,5383532,80240294,80240294,2023.06.22
47,The Enemy Between My Ears,Sons Of Charlie,,,47,77,79,3,5297468,38.4,3828048,15283235,15283235,2023.06.22
48,Tourner Dans Le Vide,Indila,DECCA INTERNATIONAL,DECC,6,57,130,52,5294720,20.9,4380925,80693529,268783798,2023.06.22
